ID,ENTITAT,SECTORSEMANTIC1,SECTORSEMANTIC2,ANY_CONSTITUCIO,WEB
914,ACTIVAMENT CATALUNYA ASSOCIACIÓ,,,2021,www.activament.org
454,APA CEIP ARTUR MARTORELL,Educació,ampas,2020,
234,APA COLEGIO NTRA. SRA. DE LA ASUNCION,Educació,ampas,2013,
184,APA COL·LEGI  LAIETÀNIA,Educació,ampas,1994,www.xtec.es/ce2776
364,APA COL.LEGI MARISTES CHAMPAGNAT DE BADALONA,Educació,ampas,1999,www.ampamaristesbadalona.ning.com
264,APA CP FOLCH I TORRES,Educació,ampas,2012,
84,APA CP JOAN LLONGUERAS,Educació,ampas,1990,
54,APA CP MARGARIDA XIRGU,Educació,ampas,2013,
104,APA CP SANT JORDI,Educació,ampas,2012,
244,APA I.B. PAU CASALS,,,2011,
394,"ASOCIACION CULTURAL EXTREMEÑA ""ZURBARAN""",Culturals,tradicionals,2020,
734,ASOCIACIÓN DE COMERCIANTES Y VECINOS DE LA CALLE DEL MAR,,,2012,
324,ASOCIACION DE JUBILADOS Y PENSIONISTAS CASAL BONAVISTA CANYET,Sociosolidàries,gent gran,2013,
274,ASOCIACION FLAMENCO VIVO,Culturals,tradicionals,2013,
684,ASOCIACIÓN LA CASA DEL ARTISTA DE ASUN DE MERIDA,Culturals,musical,1987,
874,ASSOCIACIÓ ARTÍSTICA JUVENILl COMUNA PARADÍS,Culturals,activitats diverses,2019,
774,ASSOCIACIÓ ASTEROIDE B-612,Sociosolidàries,infància,2013,www.asteroide-b612.org
744,ASSOCIACIÓ CHIC FUNKY,,,2012,
634,ASSOCIACIÓ CULTURAL POPULAR XINESA,Culturals,cultura estrangera,2008,
754,ASSOCIACIÓ DE BOTIGUERS I SERVEIS DEL PROGRÉS,Econòmiques,botiguers/res,2012,
804,ASSOCIACIÓ DE COMERÇ BADALONA HOME DESIGN,Econòmiques,botiguers/res,2013,
594,"ASSOCIACIÓ DE FAMILIARS DE  MALALTS D'ALZHEIMER DE BADALONA, SANTA COLOMA I SANT",Sociosolidàries,suport social,2006,www.blocs.xarxanet.org/afabss/
664,ASSOCIACIÓ DE MALABARISME DE BADALONA,Esportives,altres activitats esportives,2020,www.malabarbdn.blogspot.com
904,ASSOCIACIÓ DE PARES D'ALUMNES DE L'ESCOLA DE DISMINUITS CAN BARRIGA,,,2020,ceecanbarriga.blogspot.com
564,ASSOCIACIÓ DE PARES D'ALUMNES DEL COL·LEGI PÚBLIC GITANJALI-CENTRE,Educació,ampas,2020,www.Xtec.es/ceipgitanjali/
434,ASSOCIACIÓ DE PARES I MARES EXALUMNES GITANJALI,Educació,ampas,2002,
604,ASSOCIACIO ESPORTIVA GUARDIA URBANA DE BADALONA,Esportives,altres activitats esportives,2007,
644,ASSOCIACIÓ HISTÒRIC-CULTURAL ATENEU REPUBLICÀ DE CATALUNYA,Culturals,altres entitats culturals,2008,www.ateneurepublica.org
114,"ASSOCIACIO JUBILATS I PENSIONISTES ""CASAL PEP VENTURA""",Sociosolidàries,gent gran,2020,
854,ASSOCIACIÓ JUVENIL BÈSTIES I DIABLES DE LA SALUT,Culturals,tradicionals,2017,
654,ASSOCIACIÓ JUVENIL DEMASIATS,Culturals,activitats diverses,2009,
554,ASSOCIACIÓ LLOREDA-CARITG DE GENT GRAN,Sociosolidàries,gent gran,2013,
844,ASSOCIACIÓ PONTS PER LA PAU,Sociosolidàries,suport social,2017,www.pontsperlapau.com
304,"ASSOCIACIO SEGONA OPORTUNITAT ANIMAL, OSCAR MONTORO (ASOA)",Sociosolidàries,protectora animals,,www.asoa.net
714,"ASSOCIACIÓ TIERRA ""Grupo de crecimiento personal""",Sociosolidàries,suport social,2011,www.tierragrupo de crecimiento.es
694,ASSOCIACIÓ UNIÓ DE RADIOAFICIONATS DE BADALONA,Culturals,comunicació,2013,www.seccion.badalona.ure.es
374,ASSOCIACIÓ UNIÓ MARROQUINA-CATALANA D'EDUCACIÓ I CULTURA,Sociosolidàries,suport social,2020,
814,ASSOCIACIÓ ÜTRES TEATRE,Culturals,teatre,2013,
24,AV. BUFALÀ-BADALONA 12,Sociosolidàries,veïnal,2020,
44,AV. CONGRESO,Sociosolidàries,veïnal,2013,
94,AV. NOVA LLOREDA NORD,Sociosolidàries,veïnal,2013,
