ID,ENTITAT,SECTORSEMANTIC1,SECTORSEMANTIC2,CARRER,CODI_DIVISIO_TERRITORIAL_ADMINISTRATIVA,CODI_DIVISIO_TERRITORIAL,CODI_POSTAL,ANY_CONSTITUCIO,TELEFON,MAIL,WEB,LATITUD,LONGITUD
274,ASOCIACION FLAMENCO VIVO,Culturals,tradicionals,Pl. Vaixell Maria Assumpta,D-01,B-05,08912,2013,93399****,aavvturocari**@*********,,41.45******,2.25******
684,ASOCIACIÓN LA CASA DEL ARTISTA DE ASUN DE MERIDA,Culturals,musical,C. Mariano Benlliure,D-02,B-21,08917,1987,64681****,,,41.45******,2.23******
874,ASSOCIACIÓ ARTÍSTICA JUVENILl COMUNA PARADÍS,Culturals,activitats diverses,Av. Marques de Montroig,D-06,B-31,08918,2019,64522****,comunaparad**@*********,,,
774,ASSOCIACIÓ ASTEROIDE B-612,Sociosolidàries,infància,C. Seu d'Urgell,D-01,B-13,08911,2013,93218****,in**@******************,www.asteroide-b612.org,,
744,ASSOCIACIÓ CHIC FUNKY,,,Ronda Sant Antoni de Llefià,,B-27,08913,2012,65920****,,,,
634,ASSOCIACIÓ CULTURAL POPULAR XINESA,Culturals,cultura estrangera,C. Camprodon,D-02,B-23,08917,2008,60917****,,,41.45******,2.23******
754,ASSOCIACIÓ DE BOTIGUERS I SERVEIS DEL PROGRÉS,Econòmiques,botiguers/res,C. Guifré,D-01,B-05,08912,2012,93389****,absprogr**@***********,,,
804,ASSOCIACIÓ DE COMERÇ BADALONA HOME DESIGN,Econòmiques,botiguers/res,C. Progrés,D-01,B-05,08912,2013,93399****,son**@***********,,,
594,"ASSOCIACIÓ DE FAMILIARS DE  MALALTS D'ALZHEIMER DE BADALONA, SANTA COLOMA I SANT",Sociosolidàries,suport social,C. Arnús,D-01,B-01,08911,2006,93464****,afab**@*********,www.blocs.xarxanet.org/afabss/,41.44******,2.25******
664,ASSOCIACIÓ DE MALABARISME DE BADALONA,Esportives,altres activitats esportives,C. Antoni Bori,D-05,B-04,08915,2020,62554****,amb.asociacionmalabarismobadalo**@************,www.malabarbdn.blogspot.com,41.44******,2.24******
904,ASSOCIACIÓ DE PARES D'ALUMNES DE L'ESCOLA DE DISMINUITS CAN BARRIGA,,,C. Xaloc,,B-26,08917,2020,65989****,perembalfa**@*********,ceecanbarriga.blogspot.com,,
564,ASSOCIACIÓ DE PARES D'ALUMNES DEL COL·LEGI PÚBLIC GITANJALI-CENTRE,Educació,ampas,Av. Martí Pujol,D-01,B-01,08911,2020,93384****,a**@*************,www.Xtec.es/ceipgitanjali/,41.45******,2.25******
434,ASSOCIACIÓ DE PARES I MARES EXALUMNES GITANJALI,Educació,ampas,Av. Martí Pujol,D-01,B-01,08911,2002,93464****,fcho**@*******,,41.45******,2.25******
604,ASSOCIACIO ESPORTIVA GUARDIA URBANA DE BADALONA,Esportives,altres activitats esportives,C. Turó de Caritg,D-02,B-21,08917,2007,93483****,aeg**@**************,,41.44******,2.23******
644,ASSOCIACIÓ HISTÒRIC-CULTURAL ATENEU REPUBLICÀ DE CATALUNYA,Culturals,altres entitats culturals,C. Independència,D-03,B-09,08915,2008,93387****,ateneurepubli**@***********,www.ateneurepublica.org,41.46******,2.24******
114,"ASSOCIACIO JUBILATS I PENSIONISTES ""CASAL PEP VENTURA""",Sociosolidàries,gent gran,Av. Alfons XII,D-01,B-05,08912,2020,93399****,casalpepventu**@*********,,41.44******,2.24******
854,ASSOCIACIÓ JUVENIL BÈSTIES I DIABLES DE LA SALUT,Culturals,tradicionals,C. Cordova,,B-31,08918,2017,63276****,bestiesidiables**@*********,,,
654,ASSOCIACIÓ JUVENIL DEMASIATS,Culturals,activitats diverses,C. Pompeu Fabra,D-01,B-12,08911,2009,93464****,demasia**@*********,,41.46******,2.26******
554,ASSOCIACIÓ LLOREDA-CARITG DE GENT GRAN,Sociosolidàries,gent gran,C. Solsona,D-02,B-21,08914,2013,93387****,jmapar**@**************,,41.45******,2.22******
844,ASSOCIACIÓ PONTS PER LA PAU,Sociosolidàries,suport social,C. Sant Pau,,B-01,08911,2017,68786****,pontsperlap**@*********,www.pontsperlapau.com,,
304,"ASSOCIACIO SEGONA OPORTUNITAT ANIMAL, OSCAR MONTORO (ASOA)",Sociosolidàries,protectora animals,Apartat de Correus ,D-04,B-22,08910,,60725****,as**@********,www.asoa.net,41.45******,2.23******
714,"ASSOCIACIÓ TIERRA ""Grupo de crecimiento personal""",Sociosolidàries,suport social,C. Sant Marc,D-05,B-32,08918,2011,62619****,,www.tierragrupo de crecimiento.es,,
694,ASSOCIACIÓ UNIÓ DE RADIOAFICIONATS DE BADALONA,Culturals,comunicació,C. Germà Bernabé,D-01,B-03,08911,2013,93384**** / 61092****,ea3u**@********,www.seccion.badalona.ure.es,41.45******,2.25******
374,ASSOCIACIÓ UNIÓ MARROQUINA-CATALANA D'EDUCACIÓ I CULTURA,Sociosolidàries,suport social,C. Asia,D-04,B-27,08914,2020,93387****,assocuniomarroqui**@********************,,41.44******,2.22******
814,ASSOCIACIÓ ÜTRES TEATRE,Culturals,teatre,Av. Alfons XIII,D-01,B-05,08912,2013,60585****,joanahermoson**@*********,,,
24,AV. BUFALÀ-BADALONA 12,Sociosolidàries,veïnal,Pl. Maria Aurèlia Capmany,D-03,B-09,08915,2020,93395****,,,41.45******,2.25******
44,AV. CONGRESO,Sociosolidàries,veïnal,C. Sant Marc,D-05,B-32,08918,2013,93387****,avvcongresob**@***********,,41.44******,2.23******
94,AV. NOVA LLOREDA NORD,Sociosolidàries,veïnal,Av. Catalunya,D-02,B-20,08917,2013,93398****,novalloredano**@*********,,41.45******,2.23******
14,AV. SISTRELLS,Sociosolidàries,veïnal,C. Olivera de Sistrells,D-02,B-21,08917,2020,93399****,avsistrells.avsistrel**@*************,,41.45******,2.23******
314,CASTELLERS DE BADALONA,Culturals,tradicionals,C. Germà Bernabé,D-01,B-01,08911,2020,93384****,jun**@************************,www.castellersdebadalona.cat,41.45******,2.25******
404,CENTRE DE DOCUMENTACIO ANTIAUTORITARI I LLIBERTARI CEDALL,Culturals,activitats diverses,Rambla Sant Joan,D-02,B-20,08917,2001,65821****,ceda**@**********,www.cedall.org,41.45******,2.23******
214,CLUB ESPORTIU DE SORDS DE BADALONA,Esportives,altres activitats esportives,C. General Weyler,D-01,B-05,08912,2012,93383****,cesbadalo**@*********,www.llarsordbadalona.org,41.44******,2.24******
764,CLUB ESQUAIX CASAGEMESBADALONA,Esportives,altres activitats esportives,C. Martí Julià,D-01,B-13,08911,2013,61874**** / 67569****,esquaixcasagem**@*********,,,
344,CLUB FUTBOL BADALONA,Esportives,futbol,Travessera de Montigalà s/n (Camp Municipal),D-01,B-03,7,2013,93384****,cfbadalo**@**************,,41.45******,2.25******
514,CLUB FUTBOL BUFALA,Esportives,futbol,C. Campoamor,D-03,B-09,08917,2003,93399****,cfbufa**@***********,,41.46******,2.24******
574,CLUB FUTBOL SISTRELLS,Esportives,futbol,C. Salvador Espriu,D-02,B-20,08917,2013,93383****,cfsistrel**@********,www.cfsistrells.com,41.45******,2.23******
134,CLUB PETANCA MONTIGALA,Esportives,petanca,C. Doctor Robert,D-03,B-09,08915,2017,93399****,,,41.46******,2.24******
64,COOPERATIVA LA MORAL DE BADALONA,Culturals,activitats diverses,C. Güell i Ferrer,D-01,B-05,08912,2013,93399****,cooplamor**@*********,www.cooperativalamoral.com,41.45******,2.24******
34,EL MICAQUER ESPLAI I TEMPS LLIURE,Lleure,esplais,C. Eduard Marquina,D-01,B-12,08911,2013,93384****,elmicaqu**@*********,www.elmicaquer.com,41.46******,2.26******
794,ESPIRITU DE SANTA CRUZ DE LA SIERRA,Culturals,cultura estrangera,Carrer de la Mercé,D-01,B-01,08911,2013,61530****,espititudesantacr**@*********,,,
884,FUNDACIÓ PER A LA RECERCA BIOMECÀNICA GERMANS TRIAS I PUJOL,Sociosolidàries,altres entitats sociosolidàries,Crta de Cayet s/n,D-03,B-08,08916,2019,93497****,ig**@********,www.igtp.catSevei de Salut,,
504,FUNDACIÓ PRIVADA BADALONA CONTRA EL CÀNCER,Sociosolidàries,suport social,C. Germà Bernabé,D-01,B-01,08911,2003,93384****,miquelcarreras_cana**@***********,,41.45******,2.25******
944,FUNDACIÓ PRIVADA CORAVANT,Sociosolidàries,suport social,Av. Marquès de Sant Mori,D-04,B-29,08913,2023,93458****,corava**@********************,,,
924,FUNDACIÓ PRIVADA GUNÉ PER A LA INFÀNCIA I EL CODESENVOLUPAMENT,Sociosolidàries,infància,C. Jovellar,D-01,B-05,08911,2020,69903****,project**@****************,www.projectes@fundaciogune.org,,
614,FUTBOL CLUB DIAGONAL,Esportives,futbol,Ctra. de canyet,D-03,B-10,08915,2020,62603****,in**@**************,,41.47******,2.24******
144,GREMIO COMARCAL DE HOSTELERIA Y TURISMO DE BADALONA,,,C. Santa Maria,D-01,B-13,08911,2013,93389****,nur**@*******,ght.cat,41.45******,2.25******
254,GRUP DE TEATRE EL GRIS SALESIANS BADALONA,Culturals,teatre,C. Alfons XII,D-01,B-05,08912,1987,93387****,informaci**@****************,www.elgristeatre.com,41.44******,2.24******
704,IGLESIA EVANGÉLICA PASIÓN DE MULTITUDES MARANATA,Culturals,altres entitats culturals,C. Alfons,D-01,B-05,08912,2011,67096****,iglesia_maranathab**@***********,,,
384,INFANCIA CON FUTURO,Sociosolidàries,altres entitats sociosolidàries,C. República Argentina,D-01,B-05,08912,2013,93418****,if@***********,infanciaconfuturo.org,41.44******,2.24******
784,IPANEMA (Asociación de usuarios/as de Cannabis),Lleure,altres entitats de lleure,C. Galileo,D-05,B-06,08912,2014,67964****,,,,
124,PASSADA DE SANT ANTONI ABAD DE BADALONA,Culturals,tradicionals,Via Augusta,D-05,B-06,08911,2012,62971****,,,41.44******,2.24******
294,PENYA BARCELONISTA D'ARTIGUES I BADALONA SUD,,,Av. Alfons XIII,D-04,B-29,08913,2012,93399****,,,41.44******,2.23******
484,PENYA BLANC I BLAVA BADALONA 2002,Esportives,futbol,C. Via Augusta,D-01,B-01,08911,2003,60750****,,,41.45******,2.25******
174,PEÑA MADRIDISTA SISTRELLS,Esportives,altres activitats esportives,C. Marià Benlliure,D-02,B-21,08917,1993,93388****,,,41.45******,2.23******
534,PLATAFORMA PER A UN EQUIPAMENT SOCIOCULTURAL PER  PERSONES I ENTITATS DE BUFALÀ,Sociosolidàries,suport social,C. Castillejos,D-03,B-09,08915,2004,60589****,platafor**@**************,www.canbarriga.org,41.46******,2.24******
464,PROGAT BADALONA,Sociosolidàries,protectora animals,Pl. Trafalgar,D-01,B-01,08913,2004,60720****,progatb**@***********,www.progatbdn.org,41.44******,2.22******
724,PUNT D'ART,Culturals,altres entitats culturals,C. Pompeu Fabra,D-01,B-12,08911,2013,60003****,puntda**@***********,,,
284,RACO DE L'ART I LA MUSICA,Culturals,musical,C. Doctor Robert,D-03,B-16,08915,2012,93399****,,,41.46******,2.24******
334,RINCÓN EXTREMEÑO,Culturals,tradicionals,C. Jerez de la Frontera,D-06,B-31,08918,2013,61678****,,,41.43******,2.22******
674,"SOCIEDAD DE CAZADORES CAN MAYOT ""AMIGOS DEL PERRO""",Esportives,altres activitats esportives,Rda. Sant Antoni de Llefià,D-04,B-29,08914,2013,66067****,,,41.44******,2.23******
624,"TAI CHI, SALUT I CONCIÈNCIA",Educació,altres entitats d'educació,C. Colon,D-01,B-03,08912,2013,93464****,,,41.45******,2.25******
894,ZONA CATALUÑA DE LA IGLESIA DE FILADELFIA,,,Primavera,,B-33,08918,2019,64353****,secretariafiladelfia.c**@*********,,,
